lcsc,mpn_or_value,purpose,jlc_class,stock_snapshot_2026-08-19,schematic_state,assembly_status
C39313,XC6SLX16-2FTG256C,FPGA,Extended,1312,placed,fit by JLC; recheck stock before order
C9926,CY7C68013A-100AXC,optional USB 2.0 bridge,Extended,662,placed,fit by JLC; recheck stock before order
C165948,TYPE-C-31-M-12,USB-C receptacle,Extended,418864,placed,fit by JLC; recheck stock before order
C7519,USBLC6-2SC6,USB ESD protection,Basic,38113,placed,fit by JLC; recheck stock before order
C6478,AT24C128C-SSHM-T,FX2LP boot EEPROM,Extended,43479,placed,fit by JLC; recheck stock before order
C15643,X322524MSB4SI,24 MHz FX2LP crystal,Extended,31675,placed,fit by JLC; recheck stock before order
C82344,W25Q32JVSSIQ,FPGA configuration flash,Extended,8276,placed,fit by JLC; recheck stock before order
C43590,TPS62130RGTR,3 A buck regulator,Extended,28008,placed,fit by JLC; recheck stock before order
C133191,SMMS0420-2R2M,2.2 uH buck inductor,Extended,9817,placed,fit by JLC; recheck stock before order
C2869949,TPS7A2025PDBVR,2.5 V auxiliary LDO,Extended,243,candidate only,do not order until placed and reviewed
C2149796,TPS22919DCKR,USB-section load switch,Extended,45225,placed,fit by JLC; recheck stock before order
C1852114,TLV803EA29DBZR,reset supervisor,Extended,853,candidate only,do not order until placed and reviewed
C181295,TPS25942ARVCR,host-input eFuse,Extended,3360,placed,fit by JLC; recheck stock before order
C122228,INA180A1IDBVR,host-current monitor,Extended,19773,placed,fit by JLC; recheck stock before order
C500720,2512 20 mOhm 1%,host-current shunt,Extended,3717,placed,fit by JLC; recheck stock before order
C135822,"74LVC1G157GW,125",clock source selector,Extended,9597,candidate only,do not order until placed and reviewed
C113325,CDCLVC1102PWR,clock fanout buffer,Extended,3520,candidate only,do not order until placed and reviewed
C282345,"74LVC1G07GW,125",open-drain reset driver,Extended,27968,candidate only,do not order until placed and reviewed
C23140,33R 0603 1%,series termination,Basic,1000000,candidate only,do not order until placed and reviewed
C21189,0R 0603,configuration link,Basic,1000000,candidate only,do not order until placed and reviewed
C25804,10k 0603 1%,pull resistor,Basic,1000000,candidate only,do not order until placed and reviewed
C23186,5.1k 0603 1%,USB-C CC resistor,Basic,1000000,candidate only,do not order until placed and reviewed
C4190,2.2k 0603 1%,I2C pull-up,Basic,1000000,candidate only,do not order until placed and reviewed
C25803,100k 0603 1%,feedback/pull resistor,Basic,1000000,placed,fit by JLC; recheck stock before order
C25814,316k 0603 1%,3.3 V feedback resistor,Extended,39327,placed,fit by JLC; recheck stock before order
C23184,49.9k 0603 1%,1.2 V feedback resistor,Basic,1000000,placed,fit by JLC; recheck stock before order
C1525,100nF 0402,decoupling capacitor,Basic,1000000,candidate only,do not order until placed and reviewed
C47339,470nF 0402,FPGA decoupling capacitor,Extended,647270,placed,fit by JLC; recheck stock before order
C15849,1uF 0603,decoupling capacitor,Basic,1000000,candidate only,do not order until placed and reviewed
C1779,4.7uF 0805,FPGA decoupling capacitor,Basic,1000000,placed,fit by JLC; recheck stock before order
C15850,10uF 0805,buck input capacitor,Basic,1000000,placed,fit by JLC; recheck stock before order
C45783,22uF 0805,buck output capacitor,Basic,1000000,placed,fit by JLC; recheck stock before order
C48971041,100uF 10V polymer,rail bulk capacitor,Extended,15653,placed,fit by JLC; recheck stock before order
N/A,KEL 8831E-100-170L,Yamaha MLN2 host connector,not a JLC part,user has stock,connector symbol; footprint hold,DNI; customer hand-fit
TBD,124-pin 0.8 mm Mini-PCI socket,Audiocom A203 socket,JLC candidates currently zero stock,0,connector symbol; footprint hold,consign or hand-fit after key/footprint verification
