pin,signal,direction_at_a203,owner,fpga_ball,bank,disposition,confidence
1,3.3V,input,power,,,connect to measured A203 3.3V rail,documented
2,3.3V,input,power,,,connect to measured A203 3.3V rail,documented
3,2.5V,output,module,,,no load; test pad only after vendor limit supplied,documented voltage only
4,GPIO0,bidirectional,debug_header,,,series footprint to header or NC,direction unconfirmed
5,GPIO5,bidirectional,debug_header,,,series footprint to header or NC,direction unconfirmed
6,GPIO1,bidirectional,debug_header,,,series footprint to header or NC,direction unconfirmed
7,VREF_1.25V,output,module,,,no load; guarded test pad only,documented voltage only
8,GPIO2,bidirectional,debug_header,,,series footprint to header or NC,direction unconfirmed
9,GPIO9,bidirectional,debug_header,,,series footprint to header or NC,direction unconfirmed
10,GPIO3,bidirectional,debug_header,,,series footprint to header or NC,direction unconfirmed
11,GPIO10,bidirectional,debug_header,,,series footprint to header or NC,direction unconfirmed
12,SPI_MISO_B,output,fpga,C11,0,route through series resistor,documented SPI slave role
13,COMS_RS_232_TX_B,output,fpga,T9,2,route as optional control UART; confirm CMOS levels,naming inference
14,SPI_MOSI_B,input,fpga,A11,0,route through series resistor,documented SPI slave role
15,COMS_RS_232_RX_B,input,fpga,M9,2,route as optional control UART; confirm CMOS levels,naming inference
16,SPI_CLK_B,input,fpga,F9,0,route through series resistor,documented SPI slave role
17,COMS_RS_232_OE_B,input,fpga,N8,2,route as optional control UART; verify polarity,direction unconfirmed
18,nSPI_SEL_B,input,fpga,D9,0,route through series resistor,documented SPI slave role
19,TXD0,output,ethernet_phy,,,route only to vendor-approved PHY,documented name; timing unconfirmed
20,nSPI_ADDR0,verify,fpga,B12,0,route through selection resistor; confirm function,direction and role ambiguous
21,TXD1,output,ethernet_phy,,,route only to vendor-approved PHY,documented name; timing unconfirmed
22,nSPI_ADDR1,verify,fpga,A12,0,route through selection resistor; confirm interrupt/select behavior,direction and role ambiguous
23,TXD2,output,ethernet_phy,,,route only to vendor-approved PHY,documented name; timing unconfirmed
24,SPI_Flash_CLK,output,module_flash,,,module-local flash function; do not connect FPGA,naming inference
25,TXD3,output,ethernet_phy,,,route only to vendor-approved PHY,documented name; timing unconfirmed
26,SPI_Flash_MISO,input,module_flash,,,module-local flash function; do not connect FPGA,naming inference
27,GND,power,,,connect ground,documented
28,SPI_Flash_MOSI,output,module_flash,,,module-local flash function; do not connect FPGA,naming inference
29,TX_ERR,output,ethernet_phy,,,route only to vendor-approved PHY,documented name; timing unconfirmed
30,GND,power,,,connect ground,documented
31,TX_CTL,output,ethernet_phy,,,route only to vendor-approved PHY,documented name; timing unconfirmed
32,SPI_HOLD,verify,module_flash,,,follow vendor reference; otherwise NC,function ambiguous
33,GND,power,,,connect ground,documented
34,Flash_W_n,verify,module_flash,,,follow vendor reference; otherwise NC,function ambiguous
35,TX_CLK,output,ethernet_phy,,,route only to vendor-approved PHY,documented name; mode unconfirmed
36,GND,power,,,connect ground,documented
37,GND,power,,,connect ground,documented
38,MDIO,bidirectional,ethernet_phy,,,route only to vendor-approved PHY,documented name; voltage unconfirmed
39,GTX_CLK,output,ethernet_phy,,,route only to vendor-approved PHY,documented name; delay unconfirmed
40,MDC,output,ethernet_phy,,,route only to vendor-approved PHY,documented name; voltage unconfirmed
41,GND,power,,,connect ground,documented
42,MDINT,input,ethernet_phy,,,route only to vendor-approved PHY,documented name; polarity unconfirmed
43,RXD0,input,ethernet_phy,,,route only to vendor-approved PHY,documented name; timing unconfirmed
44,GND,power,,,connect ground,documented
45,RXD1,input,ethernet_phy,,,route only to vendor-approved PHY,documented name; timing unconfirmed
46,AUXB1,verify,debug_header,,,test pad or NC pending vendor definition,undocumented behavior
47,RXD2,input,ethernet_phy,,,route only to vendor-approved PHY,documented name; timing unconfirmed
48,GPIO8,bidirectional,debug_header,,,series footprint to header or NC,direction unconfirmed
49,RXD3,input,ethernet_phy,,,route only to vendor-approved PHY,documented name; timing unconfirmed
50,SDA,bidirectional,fpga,P7,2,optional I2C control through selection resistors,protocol unconfirmed
51,GND,power,,,connect ground,documented
52,SCL,input,fpga,M7,2,optional I2C control through selection resistor,direction inferred
53,RX_VLD,input,ethernet_phy,,,route only to vendor-approved PHY,documented name; mode unconfirmed
54,AUXB0,verify,debug_header,,,test pad or NC pending vendor definition,undocumented behavior
55,RX_ERR,input,ethernet_phy,,,route only to vendor-approved PHY,documented name; timing unconfirmed
56,SPI_MISO_A,input,debug_header,,,optional header through selection resistor,documented SPI master role
57,GND,power,,,connect ground,documented
58,GND,power,,,connect ground,documented
59,RX_CLK,input,ethernet_phy,,,route only to vendor-approved PHY,documented name; timing unconfirmed
60,PHY_nRST,output,ethernet_phy,,,route only to vendor-approved PHY,documented name; timing unconfirmed
61,GND,power,,,connect ground,documented
62,GND,power,,,connect ground,documented
63,GND,power,,,connect ground,documented
64,SPI_CLK_A,output,debug_header,,,optional header through selection resistor,documented SPI master role
