bank,ball,fpga_signal,direction,iostandard,clock_capable,interface,reset_disposition,status
0,C9,A203_SCLK,input,LVCMOS33,yes,A203,observe only,proposed
0,A9,A203_MCLK,input,LVCMOS33,yes,A203,observe only,proposed
0,B10,A203_LRCLK,input,LVCMOS33,yes,A203,observe only,proposed
0,B5,A203_EXTERNAL_CLK,output,LVCMOS33,no,A203,high impedance until clock owner selected,proposed
0,A5,A203_LRCLK_IN,output,LVCMOS33,no,A203,high impedance until clock owner selected,proposed
0,D5,A203_SDOUT0,input,LVCMOS33,no,A203,observe only,proposed
0,C5,A203_SDOUT1,input,LVCMOS33,no,A203,observe only,proposed
0,B6,A203_SDOUT2,input,LVCMOS33,no,A203,observe only,proposed
0,A6,A203_SDOUT3,input,LVCMOS33,no,A203,observe only,proposed
0,F7,A203_SDOUT4,input,LVCMOS33,no,A203,observe only,proposed
0,E6,A203_SDOUT5,input,LVCMOS33,no,A203,observe only,proposed
0,C7,A203_SDOUT6,input,LVCMOS33,no,A203,observe only,proposed
0,A7,A203_SDOUT7,input,LVCMOS33,no,A203,observe only,proposed
0,D6,A203_SDIN0,output,LVCMOS33,no,A203,low or high impedance until lock,proposed
0,C6,A203_SDIN1,output,LVCMOS33,no,A203,low or high impedance until lock,proposed
0,E7,A203_SDIN2,output,LVCMOS33,no,A203,low or high impedance until lock,proposed
0,E8,A203_SDIN3,output,LVCMOS33,no,A203,low or high impedance until lock,proposed
0,E10,A203_SDIN4,output,LVCMOS33,no,A203,low or high impedance until lock,proposed
0,C10,A203_SDIN5,output,LVCMOS33,yes,A203,low or high impedance until lock,proposed
0,D8,A203_SDIN6,output,LVCMOS33,no,A203,low or high impedance until lock,proposed
0,C8,A203_SDIN7,output,LVCMOS33,no,A203,low or high impedance until lock,proposed
0,C11,A203_SPI_MISO_B,input,LVCMOS33,no,A203 control,observe only,proposed
0,A11,A203_SPI_MOSI_B,output,LVCMOS33,no,A203 control,high until selected,proposed
0,F9,A203_SPI_CLK_B,output,LVCMOS33,no,A203 control,low until selected,proposed
0,D9,A203_SPI_SEL_B_N,output,LVCMOS33,no,A203 control,high until selected,proposed
0,B12,A203_SPI_ADDR0,inout,LVCMOS33,no,A203 control,high impedance pending definition,proposed verify direction
0,A12,A203_SPI_ADDR1,inout,LVCMOS33,no,A203 control,high impedance pending definition,proposed verify direction
0,A13,A203_MUTE,input,LVCMOS33,no,A203 status,external safe pull footprint,proposed verify polarity
0,E11,A203_GPIO6,inout,LVCMOS33,no,A203 control,high impedance until defined,proposed
0,B14,A203_GPIO7,inout,LVCMOS33,no,A203 control,high impedance until defined,proposed
0,F10,A203_FPGA_DONE,output,LVCMOS33,no,A203 control,low until configured and safe,proposed verify polarity
1,J13,USB_IFCLK,input,LVCMOS33,yes,FX2LP,observe only,proposed
1,E13,USB_FD0,inout,LVCMOS33,no,FX2LP,high impedance,proposed
1,E12,USB_FD1,inout,LVCMOS33,no,FX2LP,high impedance,proposed
1,B15,USB_FD2,inout,LVCMOS33,no,FX2LP,high impedance,proposed
1,B16,USB_FD3,inout,LVCMOS33,no,FX2LP,high impedance,proposed
1,F12,USB_FD4,inout,LVCMOS33,no,FX2LP,high impedance,proposed
1,G11,USB_FD5,inout,LVCMOS33,no,FX2LP,high impedance,proposed
1,D14,USB_FD6,inout,LVCMOS33,no,FX2LP,high impedance,proposed
1,D16,USB_FD7,inout,LVCMOS33,no,FX2LP,high impedance,proposed
1,F13,USB_FD8,inout,LVCMOS33,no,FX2LP,high impedance,proposed
1,F14,USB_FD9,inout,LVCMOS33,no,FX2LP,high impedance,proposed
1,C15,USB_FD10,inout,LVCMOS33,no,FX2LP,high impedance,proposed
1,C16,USB_FD11,inout,LVCMOS33,no,FX2LP,high impedance,proposed
1,E15,USB_FD12,inout,LVCMOS33,no,FX2LP,high impedance,proposed
1,E16,USB_FD13,inout,LVCMOS33,no,FX2LP,high impedance,proposed
1,F15,USB_FD14,inout,LVCMOS33,no,FX2LP,high impedance,proposed
1,F16,USB_FD15,inout,LVCMOS33,no,FX2LP,high impedance,proposed
