contact,generic_signal,card_direction,design_net,fpga_ball,bank,disposition,evidence_status
1,GND,power,GND,,,connect ground,service schematic
2,WCKI,input,YAMAHA_WCKI,F2,3,route through clock conditioning,service schematic and legacy reference
3,BCKI,input,YAMAHA_BCKI,F1,3,route through clock conditioning,service schematic and legacy reference
4,MCKI,input,YAMAHA_MCKI,J6,3,provision and measure before use,service schematic only
5,DETECT1,verify,DETECT1_STRAP,,,legacy reference grounds this contact; make strap configurable,service schematic and legacy reference
6,AIN1,input,YAMAHA_AIN1,M4,3,route with series resistor,service schematic and legacy reference
7,AIN2,input,YAMAHA_AIN2,M3,3,route with series resistor,service schematic and legacy reference
8,AIN3,input,YAMAHA_AIN3,M5,3,route with series resistor,service schematic and legacy reference
9,AIN4,input,YAMAHA_AIN4,N4,3,route with series resistor,service schematic and legacy reference
10,AIN5,input,YAMAHA_AIN5,R2,3,route with series resistor,service schematic and legacy reference
11,AIN6,input,YAMAHA_AIN6,R1,3,route with series resistor,service schematic and legacy reference
12,AIN7,input,YAMAHA_AIN7,P2,3,route with series resistor,service schematic and legacy reference
13,AIN8,input,YAMAHA_AIN8,P1,3,route with series resistor,service schematic and legacy reference
14,GND,power,GND,,,connect ground,service schematic
15,AIN9,input,YAMAHA_AIN9,N3,3,route with series resistor,service schematic and legacy reference
16,AIN10,input,YAMAHA_AIN10,N1,3,route with series resistor,service schematic and legacy reference
17,AIN11,input,YAMAHA_AIN11,M2,3,route with series resistor,service schematic and legacy reference
18,AIN12,input,YAMAHA_AIN12,M1,3,route with series resistor,service schematic and legacy reference
19,AIN13_OR_MIN5,input,YAMAHA_MIDI_IN5,C3,3,use MIDI function; do not assume audio lane 13,service schematic and legacy reference
20,AIN14_OR_MIN6,verify,NC,,,leave unconnected pending host evidence,service schematic generic function
21,AIN15_OR_MIN7,verify,NC,,,leave unconnected pending host evidence,service schematic generic function
22,AIN16_OR_MIN8,verify,NC,,,leave unconnected pending host evidence,service schematic generic function
23,GND,power,GND,,,connect ground,service schematic
24,MIN1,input,YAMAHA_MIDI_IN1,E2,3,route with series resistor,service schematic and legacy reference
25,MIN2,input,YAMAHA_MIDI_IN2,E1,3,route with series resistor,service schematic and legacy reference
26,MIN3,input,YAMAHA_MIDI_IN3,K5,3,route with series resistor,service schematic and legacy reference
